90D6  D0 04     BNE $90DC                       A:00 X:07 Y:FD P:25 SP:FD CYCLES: 152 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07FD = 00  A:00 X:07 Y:FD P:25 SP:FD CYCLES: 155 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:FD P:25 SP:FD CYCLES: 161 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:FC P:A5 SP:FD CYCLES: 163 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:FC P:A4 SP:FD CYCLES: 165 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:FC P:A4 SP:FD CYCLES: 168 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:FC P:25 SP:FD CYCLES: 170 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07FC = 00  A:00 X:07 Y:FC P:25 SP:FD CYCLES: 173 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:FC P:25 SP:FD CYCLES: 179 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:FB P:A5 SP:FD CYCLES: 181 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:FB P:A4 SP:FD CYCLES: 183 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:FB P:A4 SP:FD CYCLES: 186 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:FB P:25 SP:FD CYCLES: 188 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07FB = 00  A:00 X:07 Y:FB P:25 SP:FD CYCLES: 191 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:FB P:25 SP:FD CYCLES: 197 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:FA P:A5 SP:FD CYCLES: 199 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:FA P:A4 SP:FD CYCLES: 201 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:FA P:A4 SP:FD CYCLES: 204 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:FA P:25 SP:FD CYCLES: 206 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07FA = 00  A:00 X:07 Y:FA P:25 SP:FD CYCLES: 209 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:FA P:25 SP:FD CYCLES: 215 STACK: 80 2D
